id,source,title,question,created_at_ts,closes_at_ts,raw,last_seen_ts
manifold:AQN6yOqUQ0,manifold,Do you support the Brandenburg v. Ohio decision?,Do you support the Brandenburg v. Ohio decision?,1762620023002.0,,"{""id"": ""AQN6yOqUQ0"", ""creatorId"": ""KsLPvmOdRQasgOu2FQXdsSWh7ln2"", ""creatorUsername"": ""EnopoletusHarding"", ""creatorName"": ""Enopoletus Harding"", ""createdTime"": 1762620023002, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2FEnopoletusHarding%2FB0JxqG3_oN.jpg?alt=media&token=2abc3d64-965d-4b1e-95ad-95807cd293b0"", ""question"": ""Do you support the Brandenburg v. Ohio decision?"", ""slug"": ""do-you-support-the-brandenburg-v-oh"", ""url"": ""https://manifold.markets/EnopoletusHarding/do-you-support-the-brandenburg-v-oh"", ""outcomeType"": ""POLL"", ""mechanism"": ""none"", ""volume"": 0, ""volume24Hours"": 0, ""isResolved"": false, ""uniqueBettorCount"": 1, ""lastUpdatedTime"": 1762620023002}",1762625248
manifold:0P9uCLEd0p,manifold,Noam Shazeer leaves Google before July 2026?,Noam Shazeer leaves Google before July 2026?,1762616244971.0,1782863940000.0,"{""id"": ""0P9uCLEd0p"", ""creatorId"": ""srFlJRuVlGa7SEJDM4cY9B5k4Lj2"", ""creatorUsername"": ""Bayesian"", ""creatorName"": ""Bayesian"", ""createdTime"": 1762616244971, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2FBayesian%2FZkuJDsEcaR.png?alt=media&token=007b04d0-7859-4fb3-ab4b-99938a8b4ab3"", ""closeTime"": 1782863940000, ""question"": ""Noam Shazeer leaves Google before July 2026?"", ""slug"": ""noam-shazeer-leaves-google-before-j"", ""url"": ""https://manifold.markets/Bayesian/noam-shazeer-leaves-google-before-j"", ""pool"": {""NO"": 548.2453137622722, ""YES"": 1824.000999000999}, ""probability"": 0.23110808975129485, ""p"": 0.5000000000000001, ""totalLiquidity"": 1000, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 826, ""volume24Hours"": 826, ""isResolved"": false, ""uniqueBettorCount"": 5, ""lastUpdatedTime"": 1762620349215, ""lastBetTime"": 1762620349215}",1762625253
manifold:zEncPs66ny,manifold,1GW of solar power in Earth orbit by EOY 2031?,1GW of solar power in Earth orbit by EOY 2031?,1762615942494.0,1956527940000.0,"{""id"": ""zEncPs66ny"", ""creatorId"": ""W4yEF6idSMcNWEVUquowziSCZFI3"", ""creatorUsername"": ""EvanDaniel"", ""creatorName"": ""Evan"", ""createdTime"": 1762615942494, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/AAcHTtcNNBEv2GcorWHiElPC6VlaynzKPlKxwXytwbHWc54FNIs=s96-c"", ""closeTime"": 1956527940000, ""question"": ""1GW of solar power in Earth orbit by EOY 2031?"", ""slug"": ""1gw-of-solar-power-in-earth-orbit-b"", ""url"": ""https://manifold.markets/EvanDaniel/1gw-of-solar-power-in-earth-orbit-b"", ""pool"": {""NO"": 939.9520938300154, ""YES"": 1063.884007029877}, ""probability"": 0.4690763348492728, ""p"": 0.5000000000000003, ""totalLiquidity"": 1000, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 775, ""volume24Hours"": 625, ""isResolved"": false, ""uniqueBettorCount"": 6, ""lastUpdatedTime"": 1762623485927, ""lastBetTime"": 1762623485927}",1762625257
manifold:CEsEI8CUl5,manifold,who will have read the reading for acx montreal meetup 2025-11-08?,who will have read the reading for acx montreal meetup 2025-11-08?,1762615836467.0,1762732740000.0,"{""id"": ""CEsEI8CUl5"", ""creatorId"": ""y3jSiJyAxme3VLbmTLtkwlvSgPR2"", ""creatorUsername"": ""nikthink"", ""creatorName"": ""nik"", ""createdTime"": 1762615836467, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocJMZrscv-TNCdf8OxdRtzRUXYgEDxa-FXiOH2fODbojkDo=s96-c"", ""closeTime"": 1762732740000, ""question"": ""who will have read the reading for acx montreal meetup 2025-11-08?"", ""slug"": ""who-will-have-read-the-reading-for-Q2SspP2ydq"", ""url"": ""https://manifold.markets/nikthink/who-will-have-read-the-reading-for-Q2SspP2ydq"", ""totalLiquidity"": 300, ""outcomeType"": ""MULTIPLE_CHOICE"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 211.23724356957945, ""volume24Hours"": 211.23724356957945, ""isResolved"": false, ""uniqueBettorCount"": 1, ""lastUpdatedTime"": 1762616468478, ""lastBetTime"": 1762616468478}",1762625262
manifold:SyIpIPyhtt,manifold,2025 FIFA U-17 World Cup: Will the United States beat Tajikistan by 3+ goals?,2025 FIFA U-17 World Cup: Will the United States beat Tajikistan by 3+ goals?,1762613628208.0,1762840740000.0,"{""id"": ""SyIpIPyhtt"", ""creatorId"": ""VWx3GbfLMENzWNooBVR5bkcaQFk2"", ""creatorUsername"": ""ave01"", ""creatorName"": ""ave"", ""createdTime"": 1762613628208, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ALm5wu2Kh01lsC2Cl7vyEzyFK4qn_RwVdwL73Y8WTwCd=s96-c"", ""closeTime"": 1762840740000, ""question"": ""2025 FIFA U-17 World Cup: Will the United States beat Tajikistan by 3+ goals?"", ""slug"": ""2025-fifa-u20-world-cup-will-the-un-qA090yq2zy"", ""url"": ""https://manifold.markets/ave01/2025-fifa-u20-world-cup-will-the-un-qA090yq2zy"", ""pool"": {""NO"": 10.050378152592089, ""YES"": 994.9874371066194}, ""probability"": 0.009999999999999978, ""p"": 0.5000000000000001, ""totalLiquidity"": 100, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 1073.4046623967506, ""volume24Hours"": 1073.4046623967506, ""isResolved"": false, ""uniqueBettorCount"": 1, ""lastUpdatedTime"": 1762620644955, ""lastBetTime"": 1762620644955}",1762625266
manifold:SII252Zllu,manifold,Will ChatGPT teach me to make good french press coffee this morning,Will ChatGPT teach me to make good french press coffee this morning,1762610420561.0,1762613000495.0,"{""id"": ""SII252Zllu"", ""creatorId"": ""FLHfNyjr8Yb13nv9jKFaU8qSF9m1"", ""creatorUsername"": ""SaviorofPlant"", ""creatorName"": ""Plant"", ""createdTime"": 1762610420561, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocLL8bnOoSvkiZvyB-37Ih63-HX0IacGV_I3U-WUQQMdCw=s96-c"", ""closeTime"": 1762613000495, ""question"": ""Will ChatGPT teach me to make good french press coffee this morning"", ""slug"": ""will-chatgpt-teach-me-to-make-good"", ""url"": ""https://manifold.markets/SaviorofPlant/will-chatgpt-teach-me-to-make-good"", ""pool"": {""NO"": 242.60721160403426, ""YES"": 41.218890130608585}, ""probability"": 0.8547741385352033, ""p"": 0.5000000000000004, ""totalLiquidity"": 100, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 277.39278839596574, ""volume24Hours"": 277.39278839596574, ""isResolved"": true, ""resolution"": ""NO"", ""resolutionTime"": 1762613000495, ""resolutionProbability"": 0.8295479972197423, ""resolverId"": ""FLHfNyjr8Yb13nv9jKFaU8qSF9m1"", ""uniqueBettorCount"": 3, ""lastUpdatedTime"": 1762624919886, ""lastBetTime"": 1762611732871, ""lastCommentTime"": 1762624919866}",1762625271
manifold:yqSUqnnECC,manifold,Mean Arctic Sea Ice Extent in March 2026?,Mean Arctic Sea Ice Extent in March 2026?,1762609567616.0,1776297540000.0,"{""id"": ""yqSUqnnECC"", ""creatorId"": ""APtmK3Sep3TJB92vIgWeSmAEwVa2"", ""creatorUsername"": ""parhizj"", ""creatorName"": ""JRP"", ""createdTime"": 1762609567616, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2Fparhizj%2FH7gwcxOdlA.jpg?alt=media&token=30c22eec-0b17-4d18-8a85-f1db3ce3acf8"", ""closeTime"": 1776297540000, ""question"": ""Mean Arctic Sea Ice Extent in March 2026?"", ""slug"": ""mean-arctic-sea-ice-extent-in-march"", ""url"": ""https://manifold.markets/parhizj/mean-arctic-sea-ice-extent-in-march"", ""totalLiquidity"": 1000, ""outcomeType"": ""MULTI_NUMERIC"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 448, ""volume24Hours"": 448, ""isResolved"": false, ""uniqueBettorCount"": 1, ""lastUpdatedTime"": 1762611273439, ""lastBetTime"": 1762611273439}",1762625275
manifold:pQhQEL955d,manifold,What market cap will Tesla reach before 2036?,What market cap will Tesla reach before 2036?,1762605486589.0,2082758340000.0,"{""id"": ""pQhQEL955d"", ""creatorId"": ""cuKDpwNFRxQNOxP4pqiSF2DdscB2"", ""creatorUsername"": ""Fynn"", ""creatorName"": ""Fynn"", ""createdTime"": 1762605486589, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocL4u6_PLdIYcBDuJGHloV1OlecVXHthvqSwg4-Pu8PEgmp4PA=s96-c"", ""closeTime"": 2082758340000, ""question"": ""What market cap will Tesla reach before 2036?"", ""slug"": ""what-market-cap-will-tesla-reach-be"", ""url"": ""https://manifold.markets/Fynn/what-market-cap-will-tesla-reach-be"", ""totalLiquidity"": 125, ""outcomeType"": ""MULTIPLE_CHOICE"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 55, ""volume24Hours"": 55, ""isResolved"": false, ""uniqueBettorCount"": 1, ""lastUpdatedTime"": 1762605514127, ""lastBetTime"": 1762605514127}",1762625280
manifold:RLE2un6RQn,manifold,"Thinking about your own life, which one is the most important part of the “American Dream”?","Thinking about your own life, which one is the most important part of the “American Dream”?",1762590216139.0,1765234740000.0,"{""id"": ""RLE2un6RQn"", ""creatorId"": ""nsrFthgmf4YAnxy0rKGxQtIKq0A2"", ""creatorUsername"": ""GazDownright"", ""creatorName"": ""Gaz Downright"", ""createdTime"": 1762590216139, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2FGazDownright%2F-Dfj60zwTo.jpeg?alt=media&token=86acd8d5-2e12-466f-b03d-44c57f8e25b1"", ""closeTime"": 1765234740000, ""question"": ""Thinking about your own life, which one is the most important part of the \u201cAmerican Dream\u201d?"", ""slug"": ""which-part-of-the-american-dream-is"", ""url"": ""https://manifold.markets/GazDownright/which-part-of-the-american-dream-is"", ""outcomeType"": ""POLL"", ""mechanism"": ""none"", ""volume"": 0, ""volume24Hours"": 0, ""isResolved"": false, ""uniqueBettorCount"": 18, ""lastUpdatedTime"": 1762621282093, ""lastCommentTime"": 1762621282071}",1762625284
manifold:QzSPClgQun,manifold,Manifold plays hangman #3 profitable?,Manifold plays hangman #3 profitable?,1762587887743.0,1765179120000.0,"{""id"": ""QzSPClgQun"", ""creatorId"": ""QMF5wTqvWefYwLScsyDnxl4ORdq1"", ""creatorUsername"": ""GastonKessler"", ""creatorName"": ""Gaston Kessler"", ""createdTime"": 1762587887743, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocJLS-aCC3U5ebLUDvs8zzjKoHIGvM8SGDPz6U2ea5X1=s96-c"", ""closeTime"": 1765179120000, ""question"": ""Manifold plays hangman #3 profitable?"", ""slug"": ""manifold-plays-hangman-3-profitable"", ""url"": ""https://manifold.markets/GastonKessler/manifold-plays-hangman-3-profitable"", ""pool"": {""NO"": 79.9590058902111, ""YES"": 125.06408613597127}, ""probability"": 0.39, ""p"": 0.5000000000000001, ""totalLiquidity"": 100, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 25.06408613597127, ""volume24Hours"": 25.06408613597127, ""isResolved"": false, ""uniqueBettorCount"": 2, ""lastUpdatedTime"": 1762621153043, ""lastBetTime"": 1762605919557}",1762625289
