sport,event_id,commence_time,team1,team2,teams_label,bookmaker,team1_odds,team2_odds,team1_prob,team2_prob,team1_prob_norm,team2_prob_norm,market_prob,model_prob,sentiment_score,sentiment_score_norm,discrepancy,inefficiency_score,news_headlines,ingestion_ts,last_updated
americanfootball_nfl,42473c1ddf8f424069ff3f264dd8dca4,2025-11-09T14:30:00Z,Atlanta Falcons,Indianapolis Colts,Atlanta Falcons vs Indianapolis Colts,DraftKings,3.5,1.32,0.2857142857142857,0.7575757575757576,0.2738589211618257,0.7261410788381742,0.2738589211618257,0.5,0.0,0.5,0.2261410788381743,0.7261410788381744,,2025-11-09T10:23:17.054140+00:00,2025-11-09T10:23:17.054140+00:00
americanfootball_nfl,9900b89c4776c5b47dd26ca4c755edf9,2025-11-09T18:00:00Z,Baltimore Ravens,Minnesota Vikings,Baltimore Ravens vs Minnesota Vikings,DraftKings,1.46,2.8,0.684931506849315,0.35714285714285715,0.6572769953051644,0.34272300469483574,0.6572769953051644,0.5,0.0,0.5,0.15727699530516437,0.6572769953051644,,2025-11-09T10:23:26.252439+00:00,2025-11-09T10:23:26.252439+00:00
americanfootball_nfl,3c10bc18680995136017c3bfd3152334,2025-11-09T18:00:00Z,Buffalo Bills,Miami Dolphins,Buffalo Bills vs Miami Dolphins,DraftKings,1.18,5.1,0.8474576271186441,0.19607843137254904,0.8121019108280254,0.1878980891719745,0.8121019108280254,0.5,0.0,0.5,0.3121019108280254,0.8121019108280254,,2025-11-09T10:23:34.608040+00:00,2025-11-09T10:23:34.608040+00:00
americanfootball_nfl,21f47a328fb2ab65c01360a7a2bd9571,2025-11-09T18:00:00Z,Carolina Panthers,New Orleans Saints,Carolina Panthers vs New Orleans Saints,DraftKings,1.41,3.0,0.7092198581560284,0.3333333333333333,0.6802721088435374,0.31972789115646255,0.6802721088435374,0.5,0.0,0.5,0.1802721088435374,0.6802721088435374,,2025-11-09T10:23:43.655916+00:00,2025-11-09T10:23:43.655916+00:00
americanfootball_nfl,3b1a97366685a96e6e1940ae56cc4d31,2025-11-09T18:00:00Z,Chicago Bears,New York Giants,Chicago Bears vs New York Giants,DraftKings,1.46,2.8,0.684931506849315,0.35714285714285715,0.6572769953051644,0.34272300469483574,0.6572769953051644,0.5,0.0,0.5,0.15727699530516437,0.6572769953051644,,2025-11-09T10:23:55.258347+00:00,2025-11-09T10:23:55.258347+00:00
americanfootball_nfl,844b89333f293f055f8e0c147fb9fec5,2025-11-09T18:00:00Z,Cleveland Browns,New York Jets,Cleveland Browns vs New York Jets,DraftKings,1.77,2.1,0.5649717514124294,0.47619047619047616,0.5426356589147286,0.4573643410852713,0.5426356589147286,0.5,0.0,0.5,0.04263565891472865,0.5426356589147286,,2025-11-09T10:24:05.888736+00:00,2025-11-09T10:24:05.888736+00:00
americanfootball_nfl,9dbf94f23521c7cae7fd89b2d33fc3bd,2025-11-09T18:00:00Z,Houston Texans,Jacksonville Jaguars,Houston Texans vs Jacksonville Jaguars,DraftKings,1.95,1.87,0.5128205128205129,0.53475935828877,0.4895287958115184,0.5104712041884817,0.4895287958115184,0.5,0.0,0.5,0.010471204188481575,0.5104712041884816,,2025-11-09T10:24:14.162744+00:00,2025-11-09T10:24:14.162744+00:00
americanfootball_nfl,39e7c1f6e36d5bc4d2613ebf7bb83c10,2025-11-09T18:00:00Z,New England Patriots,Tampa Bay Buccaneers,New England Patriots vs Tampa Bay Buccaneers,DraftKings,2.2,1.7,0.45454545454545453,0.5882352941176471,0.4358974358974359,0.5641025641025641,0.4358974358974359,0.5,0.0,0.5,0.0641025641025641,0.5641025641025641,,2025-11-09T10:24:22.842568+00:00,2025-11-09T10:24:22.842568+00:00
americanfootball_nfl,740b843794cc89176c4ffe38b66d30d9,2025-11-09T21:05:00Z,Arizona Cardinals,Seattle Seahawks,Arizona Cardinals vs Seattle Seahawks,DraftKings,3.7,1.29,0.27027027027027023,0.7751937984496123,0.25851703406813625,0.7414829659318637,0.25851703406813625,0.5,0.0,0.5,0.24148296593186375,0.7414829659318638,,2025-11-09T10:24:32.004675+00:00,2025-11-09T10:24:32.004675+00:00
americanfootball_nfl,93365f943b3aa23705bc9e1c7b47d7f8,2025-11-09T21:25:00Z,Detroit Lions,Washington Commanders,Detroit Lions vs Washington Commanders,DraftKings,1.2,4.8,0.8333333333333334,0.20833333333333334,0.7999999999999999,0.19999999999999998,0.7999999999999999,0.5,0.0,0.5,0.29999999999999993,0.7999999999999999,,2025-11-09T10:24:41.166048+00:00,2025-11-09T10:24:41.166048+00:00
